"model_id","target_end_date","ae_median_scaled_relative_skill","ae_median","wis_scaled_relative_skill","wis","interval_coverage_95","n"
"GZNL-ExponentialSmoothing",2025-12-01,1,0.099,1,0.053314347826087,1,1
"GZNL-ExponentialSmoothing",2025-12-08,1,0.198,1,0.127843913043478,0,2
"GZNL-ExponentialSmoothing",2025-12-15,1,0.101,1,0.0534034782608696,1,3
"GZNL-ExponentialSmoothing",2025-12-22,NA,0.001,1,0.0214182608695652,1,4
"GZNL-SeasonalDecomposition",2025-12-01,1,0.099,0.994666579679179,0.05303,1,1
"GZNL-SeasonalDecomposition",2025-12-08,1,0.198,1.00159501566108,0.128047826086957,0,2
"GZNL-SeasonalDecomposition",2025-12-15,1,0.101,0.996564301299378,0.05322,1,3
"GZNL-SeasonalDecomposition",2025-12-22,0,0,0.999695505663595,0.0214117391304348,1,4
"GZNL-SimpleTrend",2025-12-01,0.98989898989899,0.098,0.998581016611892,0.0532386956521739,1,1
"GZNL-SimpleTrend",2025-12-08,1.01010101010101,0.2,0.998874306644312,0.1277,1,2
"GZNL-SimpleTrend",2025-12-15,0.99009900990099,0.1,1.00029309278015,0.0534191304347826,1,3
"GZNL-SimpleTrend",2025-12-22,0,0,1.00862733953148,0.0216030434782609,1,4
"XMU_CTModelling-FNN",2025-12-01,3.53535353535354,0.35,3.73926587997358,0.19935652173913,1,1
"XMU_CTModelling-FNN",2025-12-08,2.07070707070707,0.41,2.17500280573117,0.278060869565217,1,2
"XMU_CTModelling-FNN",2025-12-15,0.792079207920792,0.08,1.64783274172013,0.088,1,2
"XMU_CTModelling-FNN",2025-12-22,NA,0.0499999999999999,3.73492753034794,0.0799956521739131,1,2
"XMU_CTModelling-GRU",2025-12-01,4.64646464646465,0.46,4.94882689218173,0.26384347826087,1,1
"XMU_CTModelling-GRU",2025-12-08,0.808080808080808,0.16,1.51754347182876,0.194008695652174,0,2
"XMU_CTModelling-GRU",2025-12-15,1.98019801980198,0.2,1.94475201094213,0.10385652173913,1,2
"XMU_CTModelling-GRU",2025-12-22,NA,0.42,19.2543948682555,0.412395652173913,0,2
"XMU_CTModelling-LSTM",2025-12-01,2.12121212121212,0.21,2.03085881115288,0.108273913043478,1,1
"XMU_CTModelling-LSTM",2025-12-08,1.41414141414141,0.28,1.53862896670872,0.196704347826087,1,2
"XMU_CTModelling-LSTM",2025-12-15,2.17821782178218,0.22,2.04358940958088,0.109134782608696,1,2
"XMU_CTModelling-LSTM",2025-12-22,NA,0.4,18.5926271771345,0.398221739130435,0,2
"XMU_CTModelling-TCN",2025-12-01,3.33333333333333,0.33,4.54670004811495,0.242404347826087,1,1
"XMU_CTModelling-TCN",2025-12-08,1.56565656565657,0.31,1.6551773392146,0.211604347826087,1,2
"XMU_CTModelling-TCN",2025-12-15,1.88118811881188,0.19,1.94467059628098,0.103852173913043,1,2
"XMU_CTModelling-TCN",2025-12-22,NA,0.12,3.21992610937437,0.0689652173913043,1,2
"XMU_CTModelling-XGBoost",2025-12-01,5.85858585858586,0.58,7.32146497802207,0.390339130434783,0,1
"XMU_CTModelling-XGBoost",2025-12-08,1.01010101010101,0.2,1.21387833669454,0.155186956521739,1,2
"XMU_CTModelling-XGBoost",2025-12-15,0.495049504950495,0.0499999999999999,1.69163382942,0.0903391304347826,1,2
"XMU_CTModelling-XGBoost",2025-12-22,NA,0.07,5.54484186594129,0.118760869565217,1,2
