"model_id","target_end_date","ae_median","wis","interval_coverage_95","n"
"MUST-SEIRS",2025-11-17,0.75015757,0.68535000684,0,1
"XMU_CTModelling-FNN",2025-11-17,1.46,0.76384347826087,1,1
"XMU_CTModelling-FNN",2025-11-24,0.5,0.719247826086956,1,2
"XMU_CTModelling-FNN",2025-12-01,0.35,0.19935652173913,1,2
"XMU_CTModelling-FNN",2025-12-08,0.41,0.278060869565217,1,2
"XMU_CTModelling-FNN",2025-12-15,0.08,0.088,1,2
"XMU_CTModelling-FNN",2025-12-22,0.0499999999999999,0.0799956521739131,1,2
"XMU_CTModelling-GRU",2025-11-17,0.74,0.454060869565217,0,1
"XMU_CTModelling-GRU",2025-11-24,0.47,0.780982608695652,1,2
"XMU_CTModelling-GRU",2025-12-01,0.46,0.26384347826087,1,2
"XMU_CTModelling-GRU",2025-12-08,0.16,0.194008695652174,0,2
"XMU_CTModelling-GRU",2025-12-15,0.2,0.10385652173913,1,2
"XMU_CTModelling-GRU",2025-12-22,0.42,0.412395652173913,0,2
"XMU_CTModelling-LSTM",2025-11-17,1.85,1.37872608695652,0,1
"XMU_CTModelling-LSTM",2025-11-24,0.39,0.6632,1,2
"XMU_CTModelling-LSTM",2025-12-01,0.21,0.108273913043478,1,2
"XMU_CTModelling-LSTM",2025-12-08,0.28,0.196704347826087,1,2
"XMU_CTModelling-LSTM",2025-12-15,0.22,0.109134782608696,1,2
"XMU_CTModelling-LSTM",2025-12-22,0.4,0.398221739130435,0,2
"XMU_CTModelling-TCN",2025-11-17,2.3,1.26019565217391,1,1
"XMU_CTModelling-TCN",2025-11-24,0.54,0.82294347826087,1,2
"XMU_CTModelling-TCN",2025-12-01,0.33,0.242404347826087,1,2
"XMU_CTModelling-TCN",2025-12-08,0.31,0.211604347826087,1,2
"XMU_CTModelling-TCN",2025-12-15,0.19,0.103852173913043,1,2
"XMU_CTModelling-TCN",2025-12-22,0.12,0.0689652173913043,1,2
"XMU_CTModelling-XGBoost",2025-11-17,0.47,0.239886956521739,1,1
"XMU_CTModelling-XGBoost",2025-11-24,0.37,0.754295652173913,1,2
"XMU_CTModelling-XGBoost",2025-12-01,0.58,0.390339130434783,0,2
"XMU_CTModelling-XGBoost",2025-12-08,0.2,0.155186956521739,1,2
"XMU_CTModelling-XGBoost",2025-12-15,0.0499999999999999,0.0903391304347826,1,2
"XMU_CTModelling-XGBoost",2025-12-22,0.07,0.118760869565217,1,2
