"model_id","target_end_date","ae_median","wis","interval_coverage_95","n"
"XMU_CTModelling-FNN",2026-01-26,0.57,0.455821739130435,0,1
"XMU_CTModelling-FNN",2026-02-02,0.63,0.492747826086957,0,2
"XMU_CTModelling-FNN",2026-02-09,1.75,1.19115652173913,0,2
"XMU_CTModelling-FNN",2026-02-16,0.24,0.179630434782609,1,2
"XMU_CTModelling-FNN",2026-03-02,0.9,0.731473913043478,0,1
"XMU_CTModelling-FNN",2026-03-09,0.0700000000000003,0.181934782608696,1,2
"XMU_CTModelling-FNN",2026-03-16,1.59,0.970304347826087,0,2
"XMU_CTModelling-FNN",2026-03-23,0.27,0.205791304347826,1,2
"XMU_CTModelling-GRU",2026-01-26,0.31,0.2095,1,1
"XMU_CTModelling-GRU",2026-02-02,0.78,0.649878260869565,0,2
"XMU_CTModelling-GRU",2026-02-09,1.1,0.688617391304348,0,2
"XMU_CTModelling-GRU",2026-02-16,0.2,0.166365217391304,1,2
"XMU_CTModelling-GRU",2026-03-02,0.88,0.717286956521739,0,1
"XMU_CTModelling-GRU",2026-03-09,0.3,0.215982608695652,1,2
"XMU_CTModelling-GRU",2026-03-16,1.13,0.650130434782609,1,2
"XMU_CTModelling-GRU",2026-03-23,0.35,0.232234782608696,1,2
"XMU_CTModelling-LSTM",2026-01-26,0.24,0.175104347826087,1,1
"XMU_CTModelling-LSTM",2026-02-02,0.33,0.219826086956522,1,2
"XMU_CTModelling-LSTM",2026-02-09,1.82,1.24704347826087,0,2
"XMU_CTModelling-LSTM",2026-02-16,0.0600000000000001,0.145726086956522,1,2
"XMU_CTModelling-LSTM",2026-03-02,1.17,1.02325217391304,0,1
"XMU_CTModelling-LSTM",2026-03-09,0.19,0.19194347826087,1,2
"XMU_CTModelling-LSTM",2026-03-16,2.8,1.90604782608696,0,2
"XMU_CTModelling-LSTM",2026-03-23,0.21,0.189452173913043,1,2
"XMU_CTModelling-TCN",2026-01-26,0.57,0.456669565217391,0,1
"XMU_CTModelling-TCN",2026-02-02,0.48,0.337921739130435,0,2
"XMU_CTModelling-TCN",2026-02-09,2.11,1.47025217391304,0,2
"XMU_CTModelling-TCN",2026-02-16,0.0900000000000001,0.147369565217391,1,2
"XMU_CTModelling-TCN",2026-03-02,1.23,1.08171304347826,0,1
"XMU_CTModelling-TCN",2026-03-09,0.0600000000000001,0.19055652173913,1,2
"XMU_CTModelling-TCN",2026-03-16,1.73,1.07855652173913,0,2
"XMU_CTModelling-TCN",2026-03-23,0.24,0.197552173913043,1,2
"XMU_CTModelling-XGBoost",2026-01-26,0.32,0.219904347826087,1,1
"XMU_CTModelling-XGBoost",2026-02-02,0.88,0.753852173913044,0,2
"XMU_CTModelling-XGBoost",2026-02-09,1.33,0.864643478260869,0,2
"XMU_CTModelling-XGBoost",2026-02-16,0.21,0.168530434782609,1,2
"XMU_CTModelling-XGBoost",2026-03-02,0.82,0.654817391304348,0,1
"XMU_CTModelling-XGBoost",2026-03-09,0.13,0.184982608695652,1,2
"XMU_CTModelling-XGBoost",2026-03-16,0.62,0.372078260869565,1,2
"XMU_CTModelling-XGBoost",2026-03-23,0.55,0.356878260869565,1,2
