"model_id","horizon","ae_median_scaled_relative_skill","ae_median","wis_scaled_relative_skill","wis","interval_coverage_95","n"
"GZNL-ExponentialSmoothing",-5,1,0,1,0.0212213043478261,1,12
"GZNL-ExponentialSmoothing",-4,1,0,1,0.0210873913043478,1,12
"GZNL-ExponentialSmoothing",-3,1,0,1,0.0210969565217391,1,16
"GZNL-ExponentialSmoothing",-2,1,0,1,0.0211873913043478,1,16
"GZNL-ExponentialSmoothing",-1,1,0,1,0.0212878260869565,1,16
"GZNL-ExponentialSmoothing",0,1,0,1,0.0211217391304348,1,16
"GZNL-SeasonalDecomposition",-5,1,0,1.00143416173247,0.0212517391304348,1,11
"GZNL-SeasonalDecomposition",-4,1,0,1.01086575534525,0.0213165217391304,1,11
"GZNL-SeasonalDecomposition",-3,1,0,1.00607959112174,0.0212252173913043,1,11
"GZNL-SeasonalDecomposition",-2,1,0,1.00073874946133,0.0212030434782609,1,11
"GZNL-SeasonalDecomposition",-1,1,0,0.998937951881051,0.0212652173913043,1,11
"GZNL-SeasonalDecomposition",0,1,0,0.997262247838617,0.0210639130434783,1,11
"GZNL-SimpleTrend",-5,1,0,0.998463398143785,0.0211886956521739,1,12
"GZNL-SimpleTrend",-4,1,0,1.00486587905404,0.02119,1,12
"GZNL-SimpleTrend",-3,1,0,1.00012365270078,0.0210995652173913,1,16
"GZNL-SimpleTrend",-2,1,0,0.998296772075271,0.0211513043478261,1,16
"GZNL-SimpleTrend",-1,1,0,0.988051958661819,0.0210334782608696,1,16
"GZNL-SimpleTrend",0,1,0,1.00022643062989,0.0211265217391304,1,16
