"model_id","target_end_date","ae_median_scaled_relative_skill","ae_median","wis_scaled_relative_skill","wis","interval_coverage_50","interval_coverage_95","n"
"GZNL-ExponentialSmoothing",2025-09-22,1,3.7,1,2.4567,0,0,1
"GZNL-ExponentialSmoothing",2025-09-29,1,2.44,1,1.40001304347826,0,1,2
"GZNL-ExponentialSmoothing",2025-10-06,1,1.69,1,0.898469565217391,0,1,3
"GZNL-ExponentialSmoothing",2025-10-13,1,0.68,1,0.452917391304348,1,1,3
"GZNL-ExponentialSmoothing",2025-10-20,1,1.19,1,0.625808695652174,0,1,3
"GZNL-ExponentialSmoothing",2025-10-27,1,0.37,1,0.399526086956522,1,1,3
"GZNL-SeasonalDecomposition",2025-09-22,0.802702702702703,2.97,1.11031411879846,2.72770869565217,0,0,1
"GZNL-SeasonalDecomposition",2025-09-29,0.872950819672131,2.13,1.35200914277196,1.89283043478261,0,0,2
"GZNL-SeasonalDecomposition",2025-10-06,1.00591715976331,1.7,1.6522879485889,1.48453043478261,0,0,3
"GZNL-SeasonalDecomposition",2025-10-13,1.47058823529412,1,1.64397961044821,0.744586956521739,0,0,3
"GZNL-SeasonalDecomposition",2025-10-20,1.26890756302521,1.51,2.03425828145843,1.27305652173913,0,0,3
"GZNL-SeasonalDecomposition",2025-10-27,2.10810810810811,0.78,1.2057219967135,0.481717391304348,0,1,3
"GZNL-SimpleTrend",2025-09-22,0.772972972972973,2.86,1.03690174695288,2.54735652173913,0,0,1
"GZNL-SimpleTrend",2025-09-29,0.877049180327869,2.14,1.32050322512523,1.84872173913043,0,0,2
"GZNL-SimpleTrend",2025-10-06,1.14201183431953,1.93,1.8157930393713,1.6314347826087,0,0,3
"GZNL-SimpleTrend",2025-10-13,1.95588235294118,1.33,2.28500254389417,1.03491739130435,0,0,3
"GZNL-SimpleTrend",2025-10-20,0.470588235294118,0.56,0.488786682970209,0.305886956521739,0,1,3
"GZNL-SimpleTrend",2025-10-27,1.27027027027027,0.47,0.610614750084339,0.24395652173913,0,1,3
