"model_id","horizon","ae_median_scaled_relative_skill","ae_median","wis_scaled_relative_skill","wis","interval_coverage_95","n"
"GZNL-ExponentialSmoothing",-5,1,3.7,1,2.4567,0,2
"GZNL-ExponentialSmoothing",-4,1,2.44,1,1.40001304347826,1,2
"GZNL-ExponentialSmoothing",-3,1,1.69,1,0.898469565217391,1,6
"GZNL-ExponentialSmoothing",-2,1,0.68,1,0.452917391304348,1,6
"GZNL-ExponentialSmoothing",-1,1,1.19,1,0.625808695652174,1,6
"GZNL-ExponentialSmoothing",0,1,1.12,1,0.645547826086956,1,6
"GZNL-SeasonalDecomposition",-5,0.183783783783784,0.68,0.106307919838265,0.261166666666667,1,1
"GZNL-SeasonalDecomposition",-4,0.389344262295082,0.95,0.25035481035891,0.3505,1,1
"GZNL-SeasonalDecomposition",-3,0.0177514792899407,0.0299999999999998,0.048786664601964,0.0438333333333333,1,1
"GZNL-SeasonalDecomposition",-2,0.279411764705882,0.19,0.215271044724539,0.0975,1,1
"GZNL-SeasonalDecomposition",-1,0.151260504201681,0.18,0.151537257299541,0.0948333333333333,1,1
"GZNL-SeasonalDecomposition",0,0.0267857142857141,0.0299999999999998,0.090362527726142,0.0583333333333333,1,1
"GZNL-SimpleTrend",-5,0.772972972972973,2.86,1.03690174695288,2.54735652173913,0,2
"GZNL-SimpleTrend",-4,0.877049180327869,2.14,1.32050322512523,1.84872173913043,0,2
"GZNL-SimpleTrend",-3,1.14201183431953,1.93,1.8157930393713,1.6314347826087,0,6
"GZNL-SimpleTrend",-2,1.95588235294118,1.33,2.28500254389417,1.03491739130435,0,6
"GZNL-SimpleTrend",-1,0.470588235294118,0.56,0.488786682970209,0.305886956521739,1,6
"GZNL-SimpleTrend",0,0.955357142857143,1.07,0.992833858670762,0.640921739130435,1,6
